gen1_geo_id,gen3_geo_id
1152922054362670850,1801439850948208384
1152922054362671106,1801439850948208640
1152922054362671362,1801439850948208896
1152922054362671618,1801439850948209152
1152922054362671874,1801439850948209408
1152922054362672130,1801439850948209664
1152922054362672386,1801439850948209920
1152922054362672642,1801439850948210176
1152922054362672898,1801439850948210432
1152922054362673154,1801439850948210688
1152922054362673410,1801439850948210944
1152922054362673666,1801439850948211200
1152922054362673922,1801439850948211456
1152922054362674178,1801439850948211712
1152922054362674434,1801439850948211968
1152922054362674690,1801439850948212224
1152922054362674946,1801439850948212480
1152922054362675202,1801439850948212736
1152922054362675458,1801439850948212992
1152922054362675714,1801439850948213248
1152922054362675970,1801439850948213504
1152922054362676226,1801439850948213760
1152922191801614593,1729382256910270720
1152922191801614849,1729382256910270976
1152922191801615105,1729382256910271232
1152922191801615361,1729382256910271488
1152922191801615617,1729382256910271744
1152922191801615873,1729382256910272000
1152922191801616129,1729382256910272256
1152922191801616385,1729382256910272512
1152922191801616641,1729382256910272768
1152922191801616897,1729382256910273024
1152922191801617153,1729382256910273280
1152922191801617409,1729382256910273536
1152922191801617665,1729382256910273792
1152922191801617921,1729382256910274048
1152922191801618177,1729382256910274304
1152922191801618433,1729382256910274560
1152922191801618689,1729382256910274816
1152922191801618945,1729382256910275072
1152922191801619201,1729382256910275328
1152922191801619457,1729382256910275584
1152922191801619713,1729382256910275840
1152922191801619969,1729382256910276096
1152922191801620225,1729382256910276352
1152922191801620481,1729382256910276608
1152922191801620738,1729382256910276864
1152922191801620994,1729382256910277120
1152922191801621250,1729382256910277376
1152922191801621506,1729382256910277632
1152922191801621762,1729382256910277888
1152922191801622018,1729382256910278144
1152922191801622274,1729382256910278400
1152922191801622530,1729382256910278656
1152922191801622786,1729382256910278912
1152922191801623042,1729382256910279168
1152922191801623298,1729382256910279424
1152922191801623554,1729382256910279680
1152922191801623810,1729382256910279936
1152922191801624066,1729382256910280192
1152922191801624322,1729382256910280448
1152922191801624578,1729382256910280704
